indeks_mapel_un_1_5,presentase_rangking _1_5,indeks_mapel_un_3_5,presentase_rangking _1_5,lulus_tpb
81.78,22.67,82.78,36,1
81.09,42.67,82.34,56,1
83.72,52.7,85.03,52.57,0
83.17,4,84.83,7.33,1
76.75,61.97,76.22,50.7,1
80.18,20.26,82.49,15.1,1
88.15,16.76,88.69,15.76,1
71.76,61.67,71.16,55.83,0
83.98,90.61,86.7,73.29,1
80.17,7.41,81.05,17.65,1
78.41,56.25,78,54.69,0
79.54,23.81,81.98,23.81,1
84.85,35.29,83.58,38.24,1
89.19,2.56,88.58,6.41,0
82.35,1.56,81.88,3.91,1
79.11,34.38,78.84,42.19,1
83.34,75.32,84.97,78.62,1
81.56,43.82,83.56,50.56,1
82.96,22.68,81.78,40.48,1
80.92,24.84,84.31,26.96,1
77.68,71.97,84.31,26.96,1
80.48,31.43,84.31,26.96,1
84.02,23.56,84.31,26.96,1
79.26,20,84.31,26.96,1
83.3,46.88,84.31,26.96,1
84.37,3.92,84.31,26.96,0
82.4,62.05,84.31,26.96,1
83.09,7.5,84.31,26.96,1
85.89,9.82,84.31,26.96,1
84.24,28.57,84.31,26.96,1
85.72,10.71,84.31,26.96,1
83.44,41.96,84.31,26.96,1
80.22,35.71,84.31,26.96,1
88.61,2.74,84.31,26.96,0
87.17,19.72,84.31,26.96,1
79.3,67.2,84.31,26.96,1
81.02,49.71,84.31,26.96,1
84.85,3.17,84.31,26.96,1
85.37,17.39,84.31,26.96,1
80.22,35.71,84.31,26.96,1
81.81,62.54,84.31,26.96,1
82.32,14.29,84.31,26.96,0
83.52,15.59,84.31,26.96,1
84,33.78,84.31,26.96,1
82.6,52.17,84.31,26.96,1
82.62,30.83,84.31,26.96,1
87.07,3.76,84.31,26.96,1
86.94,12.33,84.31,26.96,1
82.81,12.1,84.31,26.96,1
82.58,19.89,84.31,26.96,0
80.65,29.29,84.31,26.96,1
83.69,2.99,84.31,26.96,0
85.66,18.73,84.31,26.96,1
86.05,18.36,84.31,26.96,1
82.82,45.19,84.31,26.96,1
79.95,69.61,84.31,26.96,1
85.92,40,84.31,26.96,0
