,0,1,2,3,4,5,6,7,8,9,10
92,33.33,50.0,0.0,33.33,11.11,6.32,5.15,55.56,100.0,0.28,0.0
252,66.67,80.0,75.0,33.33,33.33,22.35,3.09,52.78,100.0,10.96,0.0
535,33.33,90.0,50.0,46.67,55.56,17.16,5.15,58.33,100.0,2.82,1.0
449,66.67,70.0,75.0,46.67,33.33,22.35,7.22,52.78,100.0,10.96,1.0
201,66.67,0.0,50.0,20.0,55.56,22.35,3.09,50.0,100.0,10.96,0.0
607,0.0,40.0,75.0,60.0,77.78,30.93,7.22,44.44,100.0,13.84,1.0
157,66.67,40.0,0.0,33.33,77.78,22.35,1.03,52.78,100.0,10.96,0.0
646,33.33,20.0,50.0,33.33,55.56,46.28,5.15,58.33,100.0,14.97,1.0
195,66.67,30.0,25.0,33.33,55.56,22.35,5.15,52.78,100.0,10.96,0.0
282,66.67,80.0,75.0,33.33,77.78,22.35,3.09,50.0,100.0,10.96,0.0
280,66.67,80.0,50.0,33.33,33.33,22.35,5.15,19.44,100.0,10.96,0.0
140,66.67,30.0,0.0,33.33,11.11,22.35,5.15,33.33,100.0,10.96,0.0
642,66.67,20.0,0.0,33.33,11.11,22.35,1.03,78.31,100.0,10.96,1.0
456,66.67,30.0,75.0,33.33,77.78,22.35,7.22,50.0,100.0,10.96,1.0
221,66.67,10.0,50.0,33.33,33.33,51.02,3.09,54.86,100.0,7.06,0.0
228,66.67,20.0,50.0,33.33,55.56,22.35,5.15,47.22,100.0,10.96,0.0
412,0.0,60.0,50.0,33.33,55.56,22.57,5.15,50.0,100.0,12.15,1.0
176,66.67,10.0,75.0,33.33,11.11,37.92,1.03,58.33,100.0,3.39,0.0
504,66.67,40.0,50.0,20.0,33.33,22.35,5.15,55.56,100.0,10.96,1.0
519,33.33,50.0,50.0,33.33,55.56,21.22,5.15,94.47,100.0,1.69,1.0
638,66.67,0.0,75.0,33.33,77.78,32.51,7.22,58.33,100.0,1.41,1.0
614,33.33,0.0,50.0,33.33,55.56,51.69,5.15,59.42,100.0,36.16,1.0
135,66.67,40.0,0.0,33.33,55.56,22.35,5.15,19.44,100.0,10.96,0.0
472,66.67,30.0,50.0,33.33,11.11,14.45,5.15,63.89,100.0,5.08,1.0
445,0.0,70.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
324,33.33,50.0,75.0,46.67,77.78,26.86,7.22,63.89,100.0,6.78,1.0
251,66.67,60.0,75.0,33.33,33.33,22.35,3.09,41.67,100.0,10.96,0.0
382,66.67,80.0,50.0,33.33,33.33,22.35,5.15,47.22,100.0,10.96,1.0
371,33.33,40.0,100.0,46.67,100.0,23.25,7.22,61.11,100.0,4.52,1.0
