ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
2591,0,0,0,0,0,0,0,1,3.00
2592,0,0,0,0,0,0,4,1,2.86
2593,0,0,0,0,0,0,0,0,2.36
2594,0,0,0,0,0,0,7,0,2.42
2595,0,0,0,0,0,0,6,1,2.96
2596,0,0,0,0,0,0,0,1,3.28
2597,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,0,0,4,1,2.56
2598,"""Olimpiade Matematika""",Propinsi,0,0,0,0,5,1,3.22
2599,"""Olimpiade Matematika""",Propinsi,0,0,0,0,3,0,0.00
2600,0,0,0,0,0,0,0,1,3.28
2601,0,0,0,0,0,0,0,1,2.71
2602,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,0,0,0,0,0,1,2.54
2603,0,0,0,0,0,0,6,1,2.97
2604,0,0,0,0,0,0,0,0,0.00
2605,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,0,0,0,0,3.49
2606,0,0,0,0,0,0,0,1,2.47
2607,0,0,0,0,0,0,0,1,2.56
2608,0,0,0,0,0,0,5,1,2.47
2609,0,0,0,0,0,0,2,1,2.58
2610,0,0,0,0,0,0,2,1,2.89
2611,0,0,0,0,0,0,0,1,2.72
2612,0,0,0,0,0,0,7,0,2.87
2613,0,0,0,0,0,0,8,1,3.35
2614,0,0,0,0,0,0,7,0,2.80
2615,0,0,0,0,0,0,8,0,2.22
2616,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,3,0,3.16
2617,0,0,0,0,0,0,5,1,3.15
2618,0,0,0,0,0,0,0,1,2.97
2619,0,0,0,0,0,0,7,1,3.33
2620,0,0,0,0,0,0,7,0,3.26
2621,0,0,0,0,0,0,0,0,2.72
2622,0,0,0,0,0,0,4,1,2.69
2623,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Biologi""",Propinsi,4,1,3.38
2624,0,0,0,0,0,0,0,0,2.66
2625,0,0,0,0,0,0,8,1,3.43
2626,0,0,0,0,0,0,6,1,2.36
2627,0,0,0,0,0,0,8,0,3.44
2628,0,0,0,0,0,0,4,1,3.13
2629,"""Olimpiade Biologi""",Nasional,"""Olimpiade Biologi""",Nasional,0,0,5,0,3.41
2630,"""Olimpiade Matematika""",Sekolah,0,0,0,0,4,1,2.96
2631,"""Pramuka/Organisasi Ekstrakurikuler""",Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,3.15
2632,Olahraga,Propinsi,Olahraga,Propinsi,Olahraga,Kabupaten/Kodya,3,0,2.94
2633,0,0,0,0,0,0,0,1,2.36
2634,Drama/Sastra,Propinsi,Drama/Sastra,Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,1,3.06
2635,0,0,0,0,0,0,0,0,2.00
2636,"""Pramuka/Organisasi Ekstrakurikuler""",Nasional,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,4,1,3.54
2637,0,0,0,0,0,0,5,0,3.03
2638,0,0,0,0,0,0,0,0,3.15
2639,0,0,0,0,0,0,4,1,2.50
2640,0,0,0,0,0,0,5,1,2.47
2641,0,0,0,0,0,0,6,1,3.01
2642,"""Olimpiade (Lainnya)""",Nasional,"""Olimpiade Matematika""",Nasional,"""Olimpiade Matematika""",Propinsi,0,0,3.56
2643,0,0,0,0,0,0,0,1,3.11
2644,0,0,0,0,0,0,0,0,1.56
2645,0,0,0,0,0,0,7,1,2.78
2646,0,0,0,0,0,0,0,0,3.30
2647,0,0,0,0,0,0,3,1,2.81
2648,0,0,0,0,0,0,3,0,2.99
2649,0,0,0,0,0,0,0,0,3.54
2650,Olahraga,Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,Olahraga,Internasional,4,0,3.22
2651,0,0,0,0,0,0,4,0,3.35
2652,0,0,0,0,0,0,7,1,2.51
2653,0,0,0,0,0,0,7,0,2.79
2654,0,0,0,0,0,0,0,0,3.56
2655,0,0,0,0,0,0,0,1,2.47
2656,0,0,0,0,0,0,8,0,3.05
2657,0,0,0,0,0,0,0,1,3.65
2658,"""Olimpiade Kimia""",Propinsi,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,Olahraga,Kabupaten/Kodya,0,1,3.14
2659,"""Olimpiade Matematika""",Kabupaten/Kodya,0,0,0,0,6,1,3.08
2660,0,0,0,0,0,0,0,1,2.82
2661,0,0,0,0,0,0,4,1,2.89
2662,0,0,0,0,0,0,0,0,3.32
2663,0,0,0,0,0,0,3,1,2.33
2664,0,0,0,0,0,0,6,1,3.14
2665,0,0,0,0,0,0,0,1,2.33
2666,0,0,0,0,0,0,7,1,3.28
2667,0,0,0,0,0,0,0,1,3.21
2668,0,0,0,0,0,0,5,0,2.44
2669,0,0,0,0,0,0,7,1,3.58
2670,0,0,0,0,0,0,6,1,2.92
2671,0,0,0,0,0,0,0,1,3.03
2672,0,0,0,0,0,0,0,1,2.78
2673,0,0,0,0,0,0,5,1,2.92
2674,0,0,0,0,0,0,4,1,3.42
2675,0,0,0,0,0,0,6,0,0.00
2676,0,0,0,0,0,0,8,1,2.42
2677,0,0,0,0,0,0,4,1,2.92
2678,0,0,0,0,0,0,0,0,3.29
2679,Olahraga,Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,1.31
2680,0,0,0,0,0,0,6,1,3.54
2681,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,0,0,5,0,2.28
2682,0,0,0,0,0,0,4,0,2.75
2683,0,0,0,0,0,0,4,0,3.30
2684,0,0,0,0,0,0,5,1,2.78
2685,0,0,0,0,0,0,5,0,3.07
2686,0,0,0,0,0,0,2,0,3.49
2687,0,0,0,0,0,0,0,0,3.16
2688,0,0,0,0,0,0,8,0,0.11
2689,0,0,0,0,0,0,6,0,2.86
2690,0,0,0,0,0,0,5,0,3.41
2691,"""Seni Rupa/Lukis""",Kabupaten/Kodya,0,0,0,0,0,1,2.72
2692,"""Seni Suara/Musik""",Sekolah,"""Seni Suara/Musik""",Sekolah,"""Seni Suara/Musik""",Sekolah,3,1,3.38
2693,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Fisika""",Kabupaten/Kodya,0,0,6,1,3.42
2694,0,0,0,0,0,0,2,0,3.38
2695,0,0,0,0,0,0,6,1,3.00
2696,0,0,0,0,0,0,6,0,1.68
2697,0,0,0,0,0,0,5,1,3.11
2698,0,0,0,0,0,0,7,0,2.79
2699,0,0,0,0,0,0,0,0,3.09
2700,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Fisika""",Kabupaten/Kodya,0,1,3.08
2701,0,0,0,0,0,0,2,0,0.00
2702,0,0,0,0,0,0,2,1,3.21
2703,Olahraga,Propinsi,Olahraga,Propinsi,Olahraga,Propinsi,0,0,0.13
2704,0,0,0,0,0,0,6,1,3.22
2705,0,0,0,0,0,0,0,1,3.08
2706,0,0,0,0,0,0,5,1,3.61
2707,0,0,0,0,0,0,6,1,3.31
2708,0,0,0,0,0,0,0,1,3.25
2709,"""Seni Rupa/Lukis""",Sekolah,0,0,0,0,6,1,3.46
2710,0,0,0,0,0,0,5,0,0.00
2711,0,0,0,0,0,0,6,1,3.33
2712,"""Olimpiade Matematika""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,0,0,1,0,2.78
2713,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,6,1,3.42
