id_mahasiswa,jumlah_siswa_1_5,indeks_mapel_un_1_5,ranking_mapel_un_1_5,jumlah_siswa_3_5,indeks_mapel_un_3_5,ranking_mapel_un_3_5,lulus_tpb
219,99,87.75,7,99,88.44,6,1
220,152,82.75,83,152,83.51,77,1
221,120,78.57,35,120,80.32,38,1
222,194,86.23,36,194,88.70,33,1
223,227,84.7265,13,227,87,13,1
224,100,83.125,1,100,82.5455,5,1
225,107,87.463,3,107,88.0556,2,1
226,100,81.97,7,100,82.52,6,1
227,131,80.45,34,131,81.97,50,0
228,108,80.1091,25,108,81.9706,30,1
229,120,77.5294,58,120,79.4935,56,1
230,109,81.4377,64,109,82.7811,61,1
231,67,83.5185,37,67,84.8333,44,1
232,210,87.5769,143,210,87.5455,138,1
233,147,81.54,34,147,81.42,24,1
234,99,82.62,10,99,83.72,9,1
235,103,78.5,16,103,80.1111,9,1
236,119,80.7019,51,119,69.0513,45,1
237,117,75.8672,80,117,77.9643,76,1
238,189,82.76,151,189,84.13,113,1
239,152,83.54,66,152,84.63,55,1
240,148,82.6324,98,148,84.3605,88,1
241,255,79.5952,73,255,82.5513,56,1
242,75,81.0847,20,75,83.6053,17,1
243,33,80.5676,8,33,81.8095,6,1
244,176,91.5833,10,176,91.9778,16,1
245,152,83.54,66,152,83.88,70,1
246,74,83.07,2,74,84.89,2,0
247,160,84.1034,93,160,89.1111,82,1
248,106,77.0192,73,106,77.6667,66,1
249,102,83.537,10,102,84.9444,10,1
250,147,79.00,74,147,79.26,63,1
251,256,86.87,32,256,88.82,30,0
252,205,79.9808,113,205,81.9394,91,1
253,131,85.83,5,131,87.89,3,1
254,111,79.35,37,111,80.58,37,1
255,44,83.47,2,44,84.89,2,1
256,121,75.7692,47,121,79.1364,41,0
257,147,80.73,46,147,80.76,36,1
258,212,81.73,98,212,84.13,106,0
259,70,82.60,12,70,85.58,7,1
260,100,79.28,27,100,79.06,25,1
261,110,83.40,18,110,83.82,33,1
262,117,81.5614,54,117,83.3919,56,1
263,126,85.10,63,126,85.91,63,1
264,70,82.5,4,70,84.5556,4,1
265,141,77.625,90,141,77.9394,97,0
266,200,80.963,122,200,82.8889,101,1
267,132,81.82,47,132,83.91,46,1
268,107,86.65,21,107,89.03,13,1
269,86,86.4544,7,86,85.4646,10,1
270,190,79.54,104,190,80.83,113,1
271,87,82.57,3,87,84.61,4,1
272,76,89.8649,11,76,90.4762,17,1
273,104,83.14,13,104,85.47,12,1
274,85,80.3134,16,85,78.896,23,1
275,149,82.2909,88,149,84,74,1
276,102,80.9259,57,102,82.1667,51,0
277,141,85.59,1,141,86.24,1,1
278,198,83.5769,99,198,87.0909,79,1
279,186,81.47,58,186,72.64,20,1
280,141,80.55,10,141,81.42,9,1
281,160,85.95,62,160,90.17,62,1
282,55,83.2143,5,55,83.4444,5,0
283,226,85.1111,123,226,86.6667,89,1
284,58,85.4759,24,58,85.6005,18,1
285,154,85.23,70,154,87.00,56,1
286,269,84.8173,49,269,86.8788,51,1
287,93,85.10,6,93,88.48,3,1
288,31,78.2432,10,31,79.1429,10,1
289,148,86.16,27,148,86.64,37,1
290,187,81.31,125,187,82.57,93,1
291,31,77.3243,18,31,78.2381,13,1
292,201,83.969,18,201,85.0805,19,1
293,211,81.2981,99,211,82.2727,119,1
294,119,83.99,19,119,71.64,22,1
295,171,84.4667,61,171,86.2222,58,1
296,154,85.14,73,154,86.91,59,1
297,156,87.32,38,156,89.36,28,1
298,93,79.1964,29,93,80.7632,32,1
299,59,76.6757,42,59,77.5714,32,1
300,141,78.50,59,141,79.45,45,0
301,156,86.9538,49,156,89.0256,39,1
302,47,79.027,6,47,78.6667,4,1
303,190,81.02,57,190,83.06,33,1
304,36,78.4595,28,36,76.8571,26,1
305,153,82.00,27,153,83.67,29,1
306,160,87.1207,45,160,91.0556,51,1
307,119,85.23,9,119,72.87,12,1
308,256,83.3846,150,256,84.9394,161,1
309,299,80.26,244,299,81.58,215,1
310,102,81.0741,51,102,82.7222,29,1
311,42,85.4741,26,42,82.2812,20,0
312,156,85.2923,119,156,87.4103,105,1
313,109,92.52,10,109,92.61,11,1
314,172,79.9808,111,172,81.7879,92,1
315,86,77.496,44,86,75.5391,46,1
316,42,81.21,11,42,84.15,3,1
317,38,79.0164,20,38,80.2703,15,1
318,119,79.9765,78,119,67.7179,85,1
319,153,82.2404,17,153,83.6061,16,1
320,33,80.5135,9,33,81.381,9,1
321,20,82.73,4,20,84.82,3,1
322,108,81.3077,46,108,82.7879,42,1
323,17,89.4432,1,17,88.3846,1,1
324,20,82.13,5,20,84.54,4,1
325,230,83.4654,30,230,83.7809,38,1
326,263,82.43,104,263,85.72,73,1
327,33,80.6216,6,33,81.4286,8,1
328,108,83.60,24,108,84.52,27,1
329,131,82.54,53,131,84.22,52,1
330,222,84.5312,104,222,86.5455,83,0
331,212,77.7833,134,212,78.5375,149,0
332,161,81.09,32,161,79.94,65,1
333,100,80.8421,24,100,80.7778,34,1
334,255,82.6508,17,255,84.4231,21,1
335,194,85.49,46,194,88.52,38,1
336,194,87.46,17,194,89.88,17,1
337,119,80.1818,68,119,67.8462,81,1
338,190,80.26,83,190,82.11,55,1
339,121,78.34,21,121,82.53,16,0
340,299,80.7664,228,299,81.5455,218,1
341,189,84.74,106,189,83.74,123,1
342,86,82.87,27,86,83.36,29,1
343,194,85.01,60,194,87.91,47,0
344,256,87.32,26,256,88.64,37,1
345,194,87.55,16,194,88.45,39,0
346,194,84.87,65,194,87.61,57,1
347,171,83.3519,15,171,84.6111,12,1
348,256,86.09,46,256,87.58,51,0
349,99,82.63,9,99,83.50,16,1
350,70,80.037,25,70,82.3889,21,1
351,167,82.9038,105,167,84.3333,99,1
352,87,82.50,4,87,84.56,5,1
353,55,81.0119,21,55,81.1667,23,1
354,141,78.67,51,141,78.58,71,1
355,58,86.5138,12,58,86.5243,7,1
356,256,84.13,106,256,85.67,119,1
357,200,80.9259,130,200,81.9444,111,1
358,116,79.9107,59,116,82.4444,48,1
359,160,84.14,91,160,88.94,85,1
360,154,85.83,53,154,88.33,31,0
361,194,83.2885,132,194,85.4242,129,1
362,138,83.5625,45,138,84.8553,33,1
363,194,84.29,84,194,86.09,108,1
364,153,79.5431,92,153,81.8077,69,1
365,141,77.8365,81,141,78.5152,74,1
366,256,86.36,45,256,87.76,47,1
367,148,83.23,83,148,84.41,85,1
368,87,79.1852,49,87,81.3333,41,1
369,93,79.6429,20,93,80.9737,26,1
370,189,85.69,85,189,84.68,99,1
371,58,79.8148,14,58,81.0556,13,0
372,146,79.91,123,146,81.78,79,1
373,98,84.1442,43,98,86.4545,27,1
