,angkatan,gol_ukt,4-FIS.Basis,5-MAT.Basis,4-KIM.Basis,jumlah_siswa-5,5-FIS.Basis,4-MAT,2-GEO.Unit,ranking_mapel_un-4,1-GEO.Unit,4-IND,jumlah_siswa-2,5-IND,1-BAS,3-SNB,5-KIM,3-MAT.Basis,2-SOS,1-SOS,4-MAT.Basis,1-AGM.Unit,1-SNB,5-FIS,2-EKO.Unit,lulus_tpb
377,0.0,60.0,50.0,33.333333333333336,55.55555555555556,22.34762979683973,5.154639175257731,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,44.117647058823536,42.424242424242436,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,1.0
378,0.0,50.0,100.0,60.0,99.99999999999999,22.34762979683973,9.278350515463917,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,69.23076923076923,44.117647058823536,30.30303030303031,69.23076923076923,100.0,57.212877939529676,56.255531030234636,100.0,1.0
379,0.0,20.0,50.0,33.333333333333336,55.55555555555556,22.34762979683973,7.216494845360824,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,69.23076923076923,58.823529411764724,51.5151515151515,69.23076923076923,100.0,57.212877939529676,56.255531030234636,100.0,0.0
380,0.0,90.0,75.0,46.66666666666667,77.77777777777779,22.34762979683973,7.216494845360824,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,53.84615384615384,55.882352941176464,45.45454545454547,53.84615384615384,100.0,57.212877939529676,56.255531030234636,100.0,1.0
381,0.0,70.0,50.0,6.666666666666668,55.55555555555556,22.34762979683973,5.154639175257731,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,1.0
382,0.0,30.0,50.0,33.333333333333336,55.55555555555556,22.34762979683973,5.154639175257731,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,1.0
383,0.0,30.0,50.0,33.333333333333336,55.55555555555556,22.34762979683973,5.154639175257731,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,1.0
384,0.0,50.0,50.0,33.333333333333336,55.55555555555556,22.34762979683973,5.154639175257731,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,1.0
385,0.0,30.0,50.0,33.333333333333336,55.55555555555556,22.34762979683973,5.154639175257731,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,1.0
386,0.0,60.0,50.0,33.333333333333336,55.55555555555556,22.34762979683973,5.154639175257731,59.4166081255122,100.0,10.957543309570996,100.0,57.83076588607992,18.198529411764707,51.714625850340184,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,1.0
