ID,1-IND,1-ING,1-MAT,1-BIO,1-FIS,1-KIM,1-EKO,1-GEO,1-SOS,1-BAS,1-AGM,1-PJO,1-SNB,2-IND,2-ING,2-MAT,2-BIO,2-FIS,2-KIM,2-EKO,2-GEO,2-SOS,2-BAS,2-AGM,2-PJO,2-SNB,3-IND,3-ING,3-MAT,3-BIO,3-FIS,3-KIM,3-EKO,3-GEO,3-SOS,3-BAS,3-AGM,3-PJO,3-SNB,4-IND,4-ING,4-MAT,4-BIO,4-FIS,4-KIM,4-EKO,4-GEO,4-SOS,4-BAS,4-AGM,4-PJO,4-SNB,5-IND,5-ING,5-MAT,5-BIO,5-FIS,5-KIM,5-EKO,5-GEO,5-SOS,5-BAS,5-AGM,5-PJO,5-SNB,indeks_mapel_un_1_5,ranking_mapel_un_1_5,indeks_mapel_un-1,ranking_mapel_un-1,indeks_mapel_un-2,ranking_mapel_un-2,indeks_mapel_un-3,ranking_mapel_un-3,indeks_mapel_un-4,ranking_mapel_un-4,indeks_mapel_un-5,ranking_mapel_un-5
1525,85,81,91,91,82,87,83,81,82,87,79,81,84,83,85,91,88,92,83,81,79,78,80,88,80,79,86,83,92,80,81,82,84,81,86,84,80,78,82,87,86,90,78,91,84,80,82,82,91,86,79,78,86,87,93,77,89,86,NULL,NULL,NULL,90,88,77,80,86.24,3,83,2,84.48,3,87.85,1,87.74,3,87.04,6
1526,86,87,88,88,84,87,88,80,NULL,NULL,86,90,88,82,81,90,82,82,81,90,79,NULL,NULL,87,85,88,89,84,91,85,97,86,89,NULL,NULL,NULL,80,83,82,80,93,89,86,85,84,77,NULL,NULL,NULL,85,81,86,84,86,87,85,84,88,89,NULL,NULL,NULL,87,88,85,84.76,67,81.84,87,84,52,86.45,40,90.64,61,NULL,NULL
1527,88,89,87,89,87,89,86,90,NULL,NULL,85,84,89,89,92,86,92,90,92,86,92,NULL,NULL,90,86,85,89,90,92,94,88,89,NULL,88,NULL,NULL,86,88,93,86,87,87,96,88,90,NULL,88,NULL,NULL,88,90,87,91,92,87,88,88,88,NULL,86,NULL,NULL,86,87,80,89.21,17,88.18,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1528,78,77,78,84,80,81,81,85,NULL,NULL,81,84,79,80,80,72,78,82,86,NULL,85,NULL,NULL,80,80,78,78,82,73,78,73,82,NULL,NULL,NULL,NULL,80,78,80,82,83,80,82,84,80,NULL,NULL,NULL,NULL,83,82,73,82,75,81,75,80,73,NULL,NULL,NULL,NULL,84,80,81,79.23,5,78.55,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1529,78,82,81,86,78,85,78,82,81,90,88,82,86,80,77,84,85,79,82,78,80,78,81,89,82,86,86,88,83,88,80,95,82,79,79,90,89,81,78,83,77,83,81,85,80,82,80,77,82,80,84,75,87,85,90,80,76,82,NULL,NULL,NULL,90,82,83,80,83.38,19,78.67,47,80.11,69,82.46,23,83.93,19,88.86,5
1530,80,88,88,80,82,78,87,NULL,83,NULL,83,92,90,87,82,90,89,83,89,90,NULL,85,NULL,83,81,80,84,84,91,82,80,80,89,NULL,NULL,NULL,85,88,92,90,85,89,85,96,86,81,NULL,NULL,NULL,84,85,82,82,94,87,88,86,85,83,NULL,NULL,NULL,83,83,88,85.27,41,91.27,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1531,93,90,78,82,86,87,84,NULL,NULL,NULL,88,85,81,92,82,90,81,77,88,84,NULL,NULL,NULL,81,79,93,84,85,76,82,81,89,79,NULL,NULL,NULL,77,81,95,83,80,88,87,90,79,86,NULL,NULL,NULL,95,86,81,85,86,85,77,88,78,77,NULL,NULL,NULL,85,88,87,84.63,77,81,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1532,91,88,79,84,85,90,83,NULL,NULL,NULL,85,86,80,86,84,93,81,76,90,83,NULL,NULL,NULL,79,81,91,84,83,79,83,79,91,81,NULL,NULL,NULL,79,82,93,83,82,88,87,88,88,86,NULL,NULL,NULL,88,85,83,85,84,85,77,87,84,80,NULL,NULL,NULL,84,92,85,85.24,62,89.82,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1533,88,83,77,83,88,95,79,NULL,80,NULL,82,81,79,82,77,83,85,86,80,83,NULL,77,NULL,85,82,82,79,85,85,80,91,83,88,NULL,89.2,NULL,76,80,85,90,86,82,84,85,78,78,NULL,91.6,NULL,89,78,82,80,79,81,82,82,92,80,NULL,NULL,NULL,84,83,82,84.28,5,78.84,16,81.63,6,83.73,3,86.82,5,89.27,4
1534,77,77,85,NULL,76,70,NULL,NULL,NULL,NULL,73,75,85,78,74,80,NULL,80,73,NULL,NULL,NULL,NULL,73,74,85,80,75,70,NULL,80,68,NULL,NULL,NULL,NULL,78,77,78,84,73,77,NULL,70,75,NULL,NULL,NULL,NULL,79,83,85,82,70,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,77,80,76.7,24,74.92,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1535,82,87,88,82,86,80,80,NULL,NULL,NULL,85,92,88,88,83,90,90,78,88,82,NULL,NULL,NULL,79,79,80,86,85,91,84,84,82,NULL,NULL,NULL,NULL,90,86,88,92,85,88,85,98,85,NULL,NULL,NULL,NULL,85,83,82,84,95,86,87,80,85,NULL,NULL,NULL,NULL,88,81,85,85.62,29,83.68,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1536,75,78,85,63,68,86,70,NULL,NULL,NULL,80,75,86,85,84,84,74,68,74,82,NULL,NULL,NULL,88,77,80,80,81,78,75,80,88,80,NULL,NULL,NULL,88,80,70,82,87,79,70,74,85,80,NULL,NULL,NULL,79,77,82,81,70,80,78,72,77,78,NULL,NULL,NULL,90,82.1,84,78.42,50,71.95,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1537,92,91,92,90,75,75,86,80,NULL,NULL,84,83,82,87,88,77,86,71,88,90,77,NULL,NULL,84,94,87,85,80,77,80,94,84,87,84,NULL,NULL,90,78,75,81,82,83,84,82,78,84,87,NULL,NULL,92,80,83,80,89,89,83,83,85,88,NULL,NULL,NULL,86,82,72,83.56,33,77.16,38,79.58,42,83.82,27,85.18,64,90.64,24
1538,79,78,80,80,90,82,79,82,78,80,86,84,79,82,93,85,78,82,85,79,85,82,87,93,87,83,90,86,87,80,88,87,NULL,NULL,NULL,83,90,86,85,84,91,77,85,82,85,NULL,NULL,NULL,82,91,76,85,80,77,84,87,88,87,NULL,NULL,NULL,82,87,82,85,84.28,5,79,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1539,85,89,90,NULL,81,82,NULL,NULL,NULL,NULL,82,86,79,88,90,74,NULL,83,81,NULL,NULL,NULL,NULL,93,83,80,86,85,79,NULL,81,81,NULL,NULL,NULL,NULL,82,86,79,84,90,90,NULL,86,82,NULL,NULL,NULL,NULL,87,83,80,85,79,81,NULL,81,83,NULL,NULL,NULL,NULL,80,83,80,84.92,5,81.46,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1540,90,92,87,89,89,87,84,NULL,NULL,NULL,94,84,90,87,88,85,83,81,83,90,NULL,NULL,NULL,94,93,89,84,89,85,82,82,84,83,NULL,NULL,NULL,94,83,91,82,81,83,81,79,84,77,NULL,NULL,NULL,82,79,85,79,89,81,83,78,83,77,NULL,NULL,NULL,89,79,85,83.55,34,82.73,69,84.64,98,88.36,133,NULL,NULL,NULL,NULL
1541,87,82,83,82,82,83,82,85,NULL,NULL,87,82,94,79,81,81,79,86,83,84,80,NULL,NULL,87,81,89,83,82,81,87,84,84,81,85,NULL,NULL,82,85,87,86,84,82,82,72,82,86,83,NULL,NULL,86,83,91,85,82,83,82,84,95,80,NULL,NULL,NULL,87,86,88,82.88,26,78.53,53,81.89,10,82.55,22,83.09,29,87.64,26
