ID,1-IND,1-ING,1-MAT,1-BIO,1-FIS,1-KIM,1-EKO,1-GEO,1-SOS,1-BAS,1-AGM,1-PJO,1-SNB,2-IND,2-ING,2-MAT,2-BIO,2-FIS,2-KIM,2-EKO,2-GEO,2-SOS,2-BAS,2-AGM,2-PJO,2-SNB,3-IND,3-ING,3-MAT,3-BIO,3-FIS,3-KIM,3-EKO,3-GEO,3-SOS,3-BAS,3-AGM,3-PJO,3-SNB,4-IND,4-ING,4-MAT,4-BIO,4-FIS,4-KIM,4-EKO,4-GEO,4-SOS,4-BAS,4-AGM,4-PJO,4-SNB,5-IND,5-ING,5-MAT,5-BIO,5-FIS,5-KIM,5-EKO,5-GEO,5-SOS,5-BAS,5-AGM,5-PJO,5-SNB,indeks_mapel_un_1_5,ranking_mapel_un_1_5,indeks_mapel_un-1,ranking_mapel_un-1,indeks_mapel_un-2,ranking_mapel_un-2,indeks_mapel_un-3,ranking_mapel_un-3,indeks_mapel_un-4,ranking_mapel_un-4,indeks_mapel_un-5,ranking_mapel_un-5
357,83,87,79,84,89,79,85,83,86,NULL,NULL,NULL,NULL,85,88,84,86,89,79,87,85,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.5714,22,83.5,12,85.16666667,7,81.33333333,48,86.33333333,20,89.66666667,14
358,82,84,81,86,95,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,90,83,91,95,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89.0288,9,86.10526316,9,89.21052632,6,87.72727273,14,91.45454545,7,90.27272727,13
359,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.0909,36,80,76,83.54545455,36,91.72727273,24,NULL,NULL,NULL,NULL
360,81,77,73,70,81,72,77,84,77,NULL,NULL,NULL,NULL,82,78,74,70,83,80,81,85,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.7563,32,75.85714286,15,77.85714286,19,79,32,79.5,46,80.68965517,69
361,77,78,82,78,79,76,81,NULL,NULL,NULL,NULL,NULL,NULL,77,78,82,78,79,76,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.3816,161,78.30769231,111,78.23076923,97,77.72727273,147,78.16666667,143,79.625,154
362,84,90,84,79,79,84,90,NULL,84,NULL,NULL,NULL,NULL,79,90,90,90,90,90,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.3654,19,83.05263158,37,87.68421053,11,84,17,84.72727273,24,92.09090909,19
363,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,84,84,90,79,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,87.3765,12,86.36842105,25,84.27272727,12,86.54545455,13,92.18181818,18,NULL,NULL
364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.8649,26,82.66666667,56,83,54,85.76923077,45,NULL,NULL,NULL,NULL
365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92.4054,2,92.875,14,90.625,3,92.5,2,92.625,5,94,1
366,77,82,77,80,77,75,81,80,92,NULL,NULL,NULL,NULL,88,83,81,82,78,82,82,81,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.1467,5,78,10,82.33333333,2,82.23333333,8,85.5,5,87.66666667,4
367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.1892,21,75.375,30,76.125,24,76.375,28,78.25,21,81.4,7
368,73,73,74,72,73,72,70,71,73,NULL,NULL,NULL,NULL,77,76,78,80,72,82,75,76,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.1228,61,72.95,77,77.2,85,82.66666667,56,84.16666667,42,86.19230769,38
369,87,80,72,80,80,86,78,79,82,NULL,NULL,NULL,NULL,84,79,79,80,80,86,80,80,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.3975,7,80.83333333,7,81.33333333,12,85.94545455,8,84.72727273,12,87.66666667,7
370,75,75,75,75,80,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,75,80,75,80,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.9462,131,77.78571429,133,82.10526316,123,85.625,97,86.09090909,136,86.09090909,136
371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.2703,9,76.75,31,79.75,4,79.375,11,79.5,12,82,1
372,78,81,78,76,78,79,81,NULL,NULL,NULL,NULL,NULL,NULL,80.6,79.8,78.3,78,77,78.8,79.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,80.9369,59,78.15789474,36,78.79368421,54,80.97818182,46,81.53818182,79,84.54545455,77
373,67,75,70,75,75,83,88,85,NULL,NULL,NULL,NULL,NULL,75,83,75,88,83,83,92,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,80.1442,128,73.52631579,164,80.42105263,71,80.27272727,106,82.09090909,88,83.54545455,189
374,89,85,82,86,80,80,85,83,82,NULL,NULL,NULL,NULL,90,86,84,88,81,82,86,90,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.9044,18,83.84,44,85.32,18,86.65517241,15,88.75862069,9,89.39285714,17
375,82,83,85,84,83,82,81,84,80,NULL,NULL,NULL,NULL,86,82,86,84,85,84,82,82,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.0889,47,83.27272727,72,84.59090909,48,85.37931034,48,82.68965517,62,92.57575758,25
376,75,75,75,85,75,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,75,81,85,75,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.6237,88,78.21428571,116,82.84210526,106,86.625,75,88.81818182,63,88.81818182,63
377,88.6,87.4,91,84,88.5,89.7,77,84.5,NULL,NULL,NULL,NULL,NULL,87.4,78.1,91,75.2,94,81.9,84.3,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.6,NULL,NULL,NULL,NULL,NULL,85.4623,22,88.34809524,17,84.77857143,52,83.16666667,18,86.08545455,18,85.26,21
378,83,84,83,84,83,83,84,83,85,NULL,NULL,NULL,NULL,84,84,85,85,84,83,83,84,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.1111,41,83.33333333,35,84.22222222,34,86.5,61,89.33333333,38,90.5,42
379,77,77,82,80,78,85,81,NULL,NULL,NULL,NULL,NULL,NULL,79,77,86,82,79,88,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,83.7948,15,79.94736842,25,82.15789474,24,83.65909091,9,84.63636364,12,87.82545455,21
380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92.0541,4,93.75,6,90,4,91.875,7,91.375,19,94,1
381,81,87,83,80,89,78,81,82,86,NULL,NULL,NULL,NULL,81,82,83,87,92,80,80,87,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.75,7,83,18,84.16666667,14,85.83333333,9,89.66666667,4,89.83333333,13
382,84,77,78,80,76,82,76,78,76,NULL,NULL,NULL,NULL,89,84,81,82,81,82,77,79,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.7477,83,79.55555556,110,82.77777778,89,80.96,59,83.04,105,86.52,71
383,75,75,72,72,80,70,78,68,80,NULL,NULL,NULL,NULL,76,76,76,75,80,78,80,71,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.5714,35,74,34,76.71428571,33,78.66666667,43,79.66666667,45,82.24137931,30
384,83,83,78,78,78,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,88,83,88,83,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,NULL,NULL,NULL,NULL,NULL,86.2308,36,79.57894737,68,84.31578947,22,87.54545455,25,88.27272727,45,90.27272727,31
385,79,80,80,87,81,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,83,81,82,80,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.9712,7,81.84210526,6,80.21052632,21,80.81818182,4,83.09090909,6,83.63636364,6
386,80,68,75,86,86,75,70,74,73,NULL,NULL,NULL,NULL,80,68,75,75,86,86,70,74,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.4545,34,77.76190476,11,77.63636364,28,80.84615385,38,79.34615385,70,85.73076923,52
387,79,83,82,76,82,81,73,85,84,NULL,NULL,NULL,NULL,83,83,82,82,84,82,78,85,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.5403,34,80.9,19,82.7,19,78.75,49,82.82142857,18,82.67857143,26
388,79,80,79,83,80,80,87,83,80,NULL,NULL,NULL,NULL,79,82,81,85,80,83,88,81,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.6161,10,79.9,16,81.35,18,81.83333333,21,83.33333333,11,86,7
389,75,75,75,75,79,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,75,80,75,79,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.7634,151,77.57142857,140,82.36842105,116,83.375,134,84.36363636,166,84.36363636,166
390,88,81,76,83,80,80,81,83,76,NULL,NULL,NULL,NULL,83,85,76,82,82,79,82,78,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.5405,66,81.44444444,62,81.11111111,112,81.04,57,84.88,71,87.96,48
391,80,78,83,78,82,85,83,92,82,NULL,NULL,NULL,NULL,88,86,83,81,87,83,83,88,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.5405,66,80.77777778,76,84.88888889,40,78.28,106,85,67,88.36,36
392,80,85,75,80,76,83,75,80,90,NULL,NULL,NULL,NULL,80,83,73,85,78,76,78,80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.0741,2,79.88888889,6,79,10,81.83333333,4,83.16666667,1,89.66666667,1
393,80,76,80,77,74,75,73,77,83,NULL,NULL,NULL,NULL,81,80,80,73,78,82,74,77,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,74,77.5,56,79.4,47,77.67857143,69,79.53571429,58,80.57142857,55
394,94,77,76,76,81,82,80,NULL,NULL,NULL,NULL,NULL,NULL,87,79,86,85,81,91,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,86.8654,32,81.63157895,57,85.31578947,31,87.18181818,19,88.27272727,40,91,38
395,84,80,78,85,78,82,82,85,79,NULL,NULL,NULL,NULL,83,81,80,86,83,85,83,86,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.8333,5,81,4,82.44444444,5,85.66666667,1,88,2,90,2
396,80,72,70,75,75,77,72,70,75,NULL,NULL,NULL,NULL,80,78,76,78,80,79,81,78,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.3521,37,74.72727273,51,78.5,41,78.78125,44,80.375,35,82.47058824,30
397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.5135,13,77.75,15,78.125,11,78.25,21,78.375,27,81,4
398,80,80,80,81,80,80,80,81,82,NULL,NULL,NULL,NULL,82,81,81,82,82,81,81,83,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.4711,2,80.14285714,1,81.47619048,2,82.30769231,1,84.61538462,6,87.62962963,3
399,82,87,78,79,77,83,75,84,80,NULL,NULL,NULL,NULL,83,87,78,74,77,78,75,82,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.7258,46,81.05,18,80.25,38,77.96428571,63,82.71428571,20,81.60714286,40
400,81,79,76,79,79,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,75,81,70,83,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.7273,98,79.07142857,94,76.73684211,56,78.625,135,85.7,94,87.10526316,77
401,83,84,85,69,85,67,70,NULL,NULL,NULL,NULL,NULL,NULL,79,72,73,79,80,70,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.5962,12,79.10526316,14,75.73684211,46,82.63636364,35,86,4,88.09090909,18
402,79,81,76,80,86,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,82,78,82,80,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.2788,27,79.52631579,26,79.78947368,26,77.63636364,28,78,62,81.54545455,13
403,80,77,85,85,79,81,81,NULL,NULL,NULL,NULL,NULL,NULL,80,77,86,86,87,85,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.7,NULL,NULL,NULL,NULL,NULL,NULL,83.396,18,81.52631579,10,83.78947368,13,80.75,50,82.81818182,39,87.89454545,17
404,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.3514,2,79.125,2,81.375,2,81,1,81.75,3,77.4,10
